date,Room,CO2[ppm],PM4[ug/m3],Lighting[lux],T_in[°C],RH [%],PM10[ug/m3],PM2_5[ug/m3],PM1[ug/m3],PM0_5[ug/m3],T_out [°C]
2024-07-01 00:00:00,E145,624.23,65.43,0.0,28.46,55.51,65.44,65.42,65.22,56.81,24.5
2024-07-01 01:00:00,E145,629.0,66.77,0.0,28.48,56.39,66.78,66.76,66.56,57.97,24.0
2024-07-01 02:00:00,E145,640.13,67.78,0.0,28.45,56.74,67.79,67.77,67.57,58.85,22.3
2024-07-01 03:00:00,E145,639.77,68.0,0.0,28.39,57.08,68.01,67.98,67.78,59.04,22.0
2024-07-01 04:00:00,E145,643.31,67.25,0.03,28.35,57.57,67.26,67.24,67.04,58.39,21.5
2024-07-01 05:00:00,E145,619.97,68.98,3.82,28.41,57.81,68.99,68.96,68.76,59.89,21.3
2024-07-01 06:00:00,E145,565.29,74.8,35.68,28.62,57.59,74.81,74.79,74.57,64.95,22.0
2024-07-01 07:00:00,E145,525.4,69.85,32.15,28.7,57.31,69.86,69.84,69.63,60.65,22.5
2024-07-01 08:00:00,E145,494.33,67.51,5.58,28.79,56.73,67.53,67.5,67.3,58.62,23.3
2024-07-01 09:00:00,E145,486.38,82.8,3.48,28.8,56.46,82.81,82.78,82.54,71.89,25.5
2024-07-01 10:00:00,E145,522.12,80.46,2.02,28.86,55.19,80.47,80.44,80.2,69.86,26.0
2024-07-01 11:00:00,E145,562.83,74.24,1.35,28.83,52.51,74.25,74.22,74.0,64.46,27.1
2024-07-01 12:00:00,E145,581.19,60.72,0.66,28.8,52.34,60.73,60.71,60.53,52.72,28.5
2024-07-01 13:00:00,E145,577.92,41.08,6.23,28.88,52.98,41.08,41.07,40.95,35.66,29.5
2024-07-01 14:00:00,E145,481.15,33.04,38.9,29.01,54.02,33.05,33.04,32.94,28.69,29.8
2024-07-01 15:00:00,E145,476.15,13.17,33.96,28.94,51.61,13.18,13.17,13.13,11.44,27.0
2024-07-01 16:00:00,E145,493.86,9.66,0.0,28.87,51.82,9.67,9.66,9.63,8.39,25.5
2024-07-01 17:00:00,E145,516.26,8.89,0.0,28.77,52.08,8.89,8.89,8.84,7.67,24.5
2024-07-01 18:00:00,E145,547.77,8.14,0.0,28.65,52.42,8.14,8.13,8.05,6.94,20.0
2024-07-01 19:00:00,E145,599.47,7.74,0.0,28.58,52.86,7.75,7.73,7.67,6.63,18.5
2024-07-01 20:00:00,E145,647.84,7.98,0.0,28.49,53.58,7.98,7.97,7.94,6.89,18.1
2024-07-01 21:00:00,E145,723.05,9.07,0.0,28.48,54.17,9.07,9.07,9.04,7.87,18.0
2024-07-01 22:00:00,E145,752.71,10.0,0.0,28.51,54.84,10.0,10.0,9.97,8.68,18.0
2024-07-01 23:00:00,E145,758.72,8.86,0.0,28.43,55.02,8.86,8.86,8.83,7.69,17.9
2024-07-02 00:00:00,E145,757.73,8.29,0.0,28.37,55.07,8.29,8.29,8.26,7.2,18.0
2024-07-02 01:00:00,E145,752.98,7.83,0.0,28.33,55.0,7.83,7.83,7.81,6.8,18.0
2024-07-02 02:00:00,E145,756.88,8.23,0.0,28.15,54.93,8.23,8.23,8.21,7.15,17.5
2024-07-02 03:00:00,E145,709.42,9.31,0.0,28.02,54.71,9.31,9.31,9.28,8.08,17.0
2024-07-02 04:00:00,E145,554.65,12.84,5.19,27.88,53.18,12.85,12.84,12.8,11.15,17.0
2024-07-02 05:00:00,E145,530.76,13.66,27.33,27.71,52.54,13.66,13.66,13.62,11.86,16.2
2024-07-02 06:00:00,E145,466.71,9.89,1.42,27.44,51.66,9.89,9.89,9.86,8.59,17.0
2024-07-02 07:00:00,E145,456.18,9.92,40.98,27.22,52.72,9.92,9.91,9.88,8.61,18.5
2024-07-02 08:00:00,E145,489.93,10.04,7.86,27.17,53.27,10.05,10.04,9.99,8.68,21.0
2024-07-02 09:00:00,E145,443.06,8.39,2.57,27.16,50.6,8.39,8.38,8.36,7.28,23.5
2024-07-02 10:00:00,E145,451.25,6.78,0.0,27.07,47.14,6.78,6.78,6.76,5.88,24.0
2024-07-02 11:00:00,E145,456.42,9.22,0.38,26.87,44.65,9.22,9.22,9.19,8.01,25.3
2024-07-02 12:00:00,E145,463.54,8.84,1.99,26.77,44.1,8.84,8.84,8.81,7.67,26.5
2024-07-02 13:00:00,E145,479.16,9.24,8.81,26.73,45.13,9.24,9.24,9.21,8.02,27.0
2024-07-02 14:00:00,E145,643.27,11.42,39.97,27.05,47.62,11.42,11.42,11.39,9.92,26.8
2024-07-02 15:00:00,E145,528.15,9.35,9.11,27.21,46.79,9.36,9.35,9.3,8.07,27.0
2024-07-02 16:00:00,E145,432.52,7.85,0.31,27.26,45.25,7.86,7.85,7.83,6.82,26.5
2024-07-02 17:00:00,E145,451.03,9.94,0.0,27.33,45.32,9.94,9.94,9.91,8.63,25.7
2024-07-02 18:00:00,E145,506.81,9.43,1.14,27.38,45.77,9.43,9.43,9.4,8.19,26.0
2024-07-02 19:00:00,E145,457.61,16.37,0.0,27.5,45.31,16.38,16.37,16.32,14.22,25.5
2024-07-02 20:00:00,E145,447.99,15.46,0.43,27.51,45.64,15.46,15.46,15.41,13.42,24.9
2024-07-02 21:00:00,E145,548.63,13.48,0.0,27.51,47.07,13.48,13.47,13.43,11.7,24.0
2024-07-02 22:00:00,E145,553.73,12.89,0.0,27.75,48.71,12.89,12.88,12.85,11.19,23.0
2024-07-02 23:00:00,E145,493.88,9.42,0.0,27.91,49.45,9.42,9.42,9.39,8.18,22.9
2024-07-03 00:00:00,E145,473.39,11.86,0.0,27.96,49.49,11.87,11.86,11.83,10.3,20.0
2024-07-03 01:00:00,E145,457.6,15.55,0.0,27.84,49.18,15.55,15.55,15.5,13.5,19.5
2024-07-03 02:00:00,E145,445.87,17.09,0.0,27.66,49.19,17.1,17.09,17.04,14.84,18.9
2024-07-03 03:00:00,E145,452.46,17.55,0.0,27.52,49.08,17.55,17.54,17.49,15.24,17.5
2024-07-03 04:00:00,E145,468.95,17.69,24.99,27.34,49.12,17.7,17.69,17.64,15.36,16.0
2024-07-03 05:00:00,E145,476.1,17.37,0.0,27.21,49.16,17.37,17.36,17.31,15.08,16.6
2024-07-03 06:00:00,E145,475.22,17.07,1.59,27.11,49.38,17.08,17.07,17.02,14.82,17.0
2024-07-03 07:00:00,E145,435.62,19.87,36.31,26.32,50.16,19.87,19.87,19.81,17.25,17.0
2024-07-03 08:00:00,E145,428.21,18.83,46.64,25.91,50.16,18.83,18.82,18.77,16.35,17.1
2024-07-03 09:00:00,E145,443.39,24.11,94.42,26.0,49.8,24.11,24.11,24.03,20.93,18.0
2024-07-03 10:00:00,E145,413.05,23.15,73.01,26.17,46.93,23.16,23.15,23.08,20.1,19.5
2024-07-03 11:00:00,E145,409.21,28.59,51.29,26.18,45.22,28.6,28.59,28.5,24.82,20.2
2024-07-03 12:00:00,E145,408.26,21.91,35.59,26.21,43.99,21.92,21.91,21.84,19.02,22.0
2024-07-03 13:00:00,E145,428.23,19.77,31.42,26.25,43.38,19.77,19.76,19.71,17.16,23.0
2024-07-03 14:00:00,E145,502.87,19.42,34.59,26.33,44.46,19.42,19.41,19.36,16.86,23.5
2024-07-03 15:00:00,E145,477.1,18.31,31.97,26.44,44.52,18.32,18.31,18.26,15.9,24.0
2024-07-03 16:00:00,E145,460.43,17.19,19.22,26.49,44.51,17.2,17.19,17.14,14.93,25.0
2024-07-03 17:00:00,E145,496.16,17.32,4.59,26.55,44.85,17.33,17.32,17.27,15.04,25.0
2024-07-03 18:00:00,E145,529.43,19.93,1.09,26.59,45.54,19.93,19.92,19.87,17.3,24.0
2024-07-03 19:00:00,E145,538.45,27.97,0.0,26.66,46.24,27.98,27.97,27.88,24.29,23.0
2024-07-03 20:00:00,E145,512.74,32.36,3.31,26.61,46.94,32.37,32.36,32.26,28.1,22.5
2024-07-03 21:00:00,E145,582.73,30.92,0.11,26.68,48.13,30.93,30.92,30.82,26.85,21.5
2024-07-03 22:00:00,E145,632.99,24.26,0.0,26.76,48.96,24.26,24.25,24.18,21.06,20.0
2024-07-03 23:00:00,E145,639.25,21.9,0.0,26.86,49.38,21.9,21.9,21.83,19.01,19.3
2024-07-04 00:00:00,E145,636.84,20.65,0.0,26.83,49.95,20.65,20.65,20.59,17.93,18.0
2024-07-04 01:00:00,E145,648.93,19.89,0.0,26.78,50.36,19.89,19.88,19.82,17.27,18.0
2024-07-04 02:00:00,E145,658.85,18.91,0.0,26.75,50.65,18.92,18.91,18.85,16.42,17.4
2024-07-04 03:00:00,E145,662.8,17.5,0.0,26.7,50.6,17.5,17.49,17.44,15.19,17.0
2024-07-04 04:00:00,E145,651.7,16.23,0.0,26.64,50.43,16.24,16.23,16.18,14.1,16.5
2024-07-04 05:00:00,E145,651.79,16.42,8.61,26.54,50.66,16.42,16.42,16.37,14.26,16.3
2024-07-04 06:00:00,E145,618.36,18.59,76.56,26.48,51.01,18.59,18.58,18.49,16.06,16.0
2024-07-04 07:00:00,E145,509.92,15.66,365.59,26.51,50.62,15.66,15.66,15.61,13.6,17.5
2024-07-04 08:00:00,E145,496.56,14.9,207.19,26.71,50.35,14.9,14.89,14.85,12.94,18.8
2024-07-04 09:00:00,E145,481.08,14.64,34.34,26.64,50.49,14.64,14.64,14.6,12.71,20.5
2024-07-04 10:00:00,E145,468.19,13.49,21.71,26.68,50.16,13.49,13.49,13.45,11.72,22.5
