timestamp,total_energy,CO2[ppm],PM4[ug/m3],Lighting[lux],T_in[°C],RH [%],PM10[ug/m3],PM2_5[ug/m3],PM1[ug/m3],PM0_5[ug/m3],T_out [°C]
2024-07-01 00:00:00,123.68,620.88,93.75,0.0,29.39,45.17,93.76,93.72,93.47,80.41,24.5
2024-07-01 01:00:00,130.42,614.08,85.59,0.0,29.67,46.22,85.61,85.57,85.34,73.42,24.0
2024-07-01 02:00:00,138.18,617.71,83.35,0.0,29.86,46.6,83.36,83.33,83.1,71.49,22.3
2024-07-01 03:00:00,485.15,604.76,97.68,2.54,29.44,49.55,97.7,97.66,97.39,83.79,22.0
2024-07-01 04:00:00,378.95,596.46,100.6,8.97,29.25,51.72,100.62,100.58,100.3,86.29,21.5
2024-07-01 05:00:00,195.98,592.27,84.3,16.49,29.26,51.7,84.32,84.28,84.05,72.31,21.3
2024-07-01 06:00:00,150.38,609.23,197.6,26.05,29.32,52.46,197.64,197.56,197.02,169.5,22.0
2024-07-01 07:00:00,124.2,621.57,204.2,36.74,29.59,51.48,204.24,204.15,203.57,175.1,22.5
2024-07-01 08:00:00,125.68,544.43,106.42,39.34,29.44,50.3,106.44,106.39,106.1,91.28,23.3
2024-07-01 09:00:00,270.0,606.76,241.51,32.73,29.8,44.64,241.56,241.46,240.8,207.16,25.5
2024-07-01 10:00:00,693.76,731.79,444.55,28.86,30.02,38.9,444.63,444.44,443.18,381.2,26.0
2024-07-01 11:00:00,157.23,781.5,499.71,25.18,29.91,35.15,499.8,499.59,498.23,428.63,27.1
2024-07-01 12:00:00,160.08,756.25,510.02,18.02,29.67,34.68,510.11,509.89,508.47,437.4,28.5
2024-07-01 13:00:00,168.46,766.78,349.83,18.62,29.5,34.19,349.89,349.75,348.79,300.07,29.5
2024-07-01 14:00:00,675.07,749.88,644.39,14.82,29.42,34.21,644.53,644.12,641.79,551.22,29.8
2024-07-01 15:00:00,164.72,692.82,339.88,2.33,29.05,33.97,339.94,339.78,338.79,291.35,27.0
2024-07-01 16:00:00,176.93,676.65,656.58,4.99,28.64,34.81,656.71,656.39,654.42,562.72,25.5
2024-07-01 17:00:00,164.82,651.14,466.6,5.0,28.39,35.23,466.69,466.48,465.18,400.16,24.5
2024-07-01 18:00:00,165.82,600.45,314.25,5.0,28.0,35.72,314.31,314.18,313.31,269.52,20.0
