Asset,Type,Valid Date UTC,Energy KWh,Power KW,Radiation
E.K. Chalki,PhotovoltaicArray,2024-07-01 00:00:00,0.0,0.0,0.0
E.K. Chalki,PhotovoltaicArray,2024-07-01 00:15:00,0.0,0.0,0.0
E.K. Chalki,PhotovoltaicArray,2024-07-01 00:30:00,0.0,0.0,0.0
E.K. Chalki,PhotovoltaicArray,2024-07-01 00:45:00,0.0,0.0,0.0
E.K. Chalki,PhotovoltaicArray,2024-07-01 01:00:00,0.0,0.0,0.0
E.K. Chalki,PhotovoltaicArray,2024-07-01 01:15:00,0.0,0.0,0.0
E.K. Chalki,PhotovoltaicArray,2024-07-01 01:30:00,0.0,0.0,0.0
E.K. Chalki,PhotovoltaicArray,2024-07-01 01:45:00,0.0,0.0,0.0
E.K. Chalki,PhotovoltaicArray,2024-07-01 02:00:00,0.0,0.0,0.0
E.K. Chalki,PhotovoltaicArray,2024-07-01 02:15:00,0.0,0.0,0.0
E.K. Chalki,PhotovoltaicArray,2024-07-01 02:30:00,0.0,0.0,0.0
E.K. Chalki,PhotovoltaicArray,2024-07-01 02:45:00,0.0,0.0,0.0
E.K. Chalki,PhotovoltaicArray,2024-07-01 03:00:00,0.0,0.0,11.560980133059127
E.K. Chalki,PhotovoltaicArray,2024-07-01 03:15:00,0.9477930665016174,3.7911722660064697,23.121960266118254
E.K. Chalki,PhotovoltaicArray,2024-07-01 03:30:00,3.0664901733398438,12.265960693359375,34.68294039917738
E.K. Chalki,PhotovoltaicArray,2024-07-01 03:45:00,5.2526984214782715,21.010793685913086,46.24392053223651
E.K. Chalki,PhotovoltaicArray,2024-07-01 04:00:00,8.9238920211792,35.6955680847168,86.20469968781046
E.K. Chalki,PhotovoltaicArray,2024-07-01 04:15:00,12.030755996704102,48.123023986816406,126.16547884338438
E.K. Chalki,PhotovoltaicArray,2024-07-01 04:30:00,18.35666847229004,73.42667388916016,166.1262579989583
E.K. Chalki,PhotovoltaicArray,2024-07-01 04:45:00,26.700965881347656,106.80386352539062,206.08703715453223
E.K. Chalki,PhotovoltaicArray,2024-07-01 05:00:00,35.57667541503906,142.30670166015625,255.34686554756678
E.K. Chalki,PhotovoltaicArray,2024-07-01 05:15:00,46.142478942871094,184.56991577148438,304.60669394060136
E.K. Chalki,PhotovoltaicArray,2024-07-01 05:30:00,68.19182586669922,272.7673034667969,353.8665223336359
E.K. Chalki,PhotovoltaicArray,2024-07-01 05:45:00,75.66703796386719,302.66815185546875,403.12635072667047
E.K. Chalki,PhotovoltaicArray,2024-07-01 06:00:00,86.28575134277344,345.14300537109375,451.1295508443725
E.K. Chalki,PhotovoltaicArray,2024-07-01 06:15:00,99.64476776123047,398.5790710449219,499.1327509620745
E.K. Chalki,PhotovoltaicArray,2024-07-01 06:30:00,111.35584259033203,445.4233703613281,547.1359510797765
E.K. Chalki,PhotovoltaicArray,2024-07-01 06:45:00,129.45590209960938,517.8236083984375,596.1444538177445
E.K. Chalki,PhotovoltaicArray,2024-07-01 07:00:00,125.12822723388672,500.5129089355469,638.1158382138505
E.K. Chalki,PhotovoltaicArray,2024-07-01 07:15:00,130.35800170898438,521.4320068359375,680.0872226099565
E.K. Chalki,PhotovoltaicArray,2024-07-01 07:30:00,137.27239990234375,549.089599609375,722.0586070060624
E.K. Chalki,PhotovoltaicArray,2024-07-01 07:45:00,154.53501892089844,618.1400756835938,764.0299914021684
E.K. Chalki,PhotovoltaicArray,2024-07-01 08:00:00,169.0728759765625,676.29150390625,795.4456982854813
E.K. Chalki,PhotovoltaicArray,2024-07-01 08:15:00,166.4477996826172,665.7911987304688,826.8614051687941
E.K. Chalki,PhotovoltaicArray,2024-07-01 08:30:00,149.01266479492188,596.0506591796875,858.277112052107
E.K. Chalki,PhotovoltaicArray,2024-07-01 08:45:00,171.6465606689453,686.5862426757812,889.6928189354198
E.K. Chalki,PhotovoltaicArray,2024-07-01 09:00:00,173.93777465820312,695.7510986328125,908.290917410341
E.K. Chalki,PhotovoltaicArray,2024-07-01 09:15:00,166.0924072265625,664.36962890625,926.8890158852622
E.K. Chalki,PhotovoltaicArray,2024-07-01 09:30:00,190.52513122558594,762.1005249023438,945.4871143601835
E.K. Chalki,PhotovoltaicArray,2024-07-01 09:45:00,204.04449462890625,816.177978515625,964.0852128351047
E.K. Chalki,PhotovoltaicArray,2024-07-01 10:00:00,198.56484985351562,794.2593994140625,968.6090746263017
E.K. Chalki,PhotovoltaicArray,2024-07-01 10:15:00,203.11935424804688,812.4774169921875,973.1329364174987
E.K. Chalki,PhotovoltaicArray,2024-07-01 10:30:00,194.6634063720703,778.6536254882812,977.6567982086957
E.K. Chalki,PhotovoltaicArray,2024-07-01 10:45:00,179.2967529296875,717.18701171875,982.1806599998928
E.K. Chalki,PhotovoltaicArray,2024-07-01 11:00:00,182.16831970214844,728.6732788085938,973.3842620725652
E.K. Chalki,PhotovoltaicArray,2024-07-01 11:15:00,174.80641174316406,699.2256469726562,964.5878641452376
